equal,pyth,pure,length
246.94165062806206,244.16874121492316,253.44,1.0
277.1826309768721,278.4375,275.0,1.0
277.1826309768721,274.6898338667886,281.6,1.0
311.1269837220809,313.2421875,309.375,1.0
311.1269837220809,309.0260631001372,316.8,1.0
349.2282314330039,352.39746093750006,343.75,1.0
329.6275569128699,325.5583216198975,337.92,1.0
369.9944227116344,371.25000000000006,371.25,1.0
369.9944227116344,366.25311182238477,375.4666666666667,1.0
415.3046975799451,417.65625000000006,412.5,1.0
415.3046975799451,412.0347508001829,422.40000000000003,1.0
466.1637615180899,469.86328125000006,464.0625,1.0
466.1637615180899,463.53909465020575,469.3333333333333,1.0
523.2511306011972,528.59619140625,515.625,1.0
493.8833012561241,488.3374824298463,506.88,1.0
554.3652619537442,556.875,550.0,1.0
