# bE大调 4/4拍 每分钟96拍 共扒了34小节
# 顺序分别为音名，位置，升降，时值
# 时值单位为拍
# “#”表示升，“b”表示降，“-”表示不升不降
# 遇到和弦只记录较低音（感觉更适合）
# 第一位为0表示休止
# 在某些小节，第2,4,6,8,10,12个十六分之音符为相同高度的音，这应该是一种不影响旋律的插入，因为只有右手部分，如果听起来变扭，可删去。

#1
G,5,-,0.25
C,6,-,0.25
G,5,-,0.25

#25
G,6,-,0.25
G,5,-,0.25
B,5,-,0.25
G,5,-,0.25
E,6,b,0.25
G,5,-,0.25
D,6,-,0.25
G,5,-,0.25
C,6,-,0.25
G,5,-,0.25
G,6,-,0.25
G,5,-,0.25
C,6,-,1

#26
G,5,-,0.25
C,5,-,0.25
E,5,b,0.25
F,5,-,0.25
G,5,-,0.25
C,5,-,0.25
E,5,b,0.25
B,5,b,0.25
A,5,b,0.25
C,5,-,0.25
G,5,-,0.25
C,5,-,0.25
F,5,-,0.25
C,5,-,0.25
E,5,b,0.25
C,5,-,0.25

#27
F,5,-,0.25
B,4,b,0.25
D,5,-,0.25
E,5,b,0.25
F,5,-,0.25
B,4,b,0.25
D,5,-,0.25
A,5,b,0.25
G,5,-,0.25
B,4,b,0.25
F,5,-,0.25
B,4,b,0.25
E,5,b,0.25
B,4,b,0.25
D,5,-,0.25
B,4,b,0.25

#28
E,5,b,0.25
A,4,b,0.25
C,5,-,0.25
D,5,-,0.25
E,5,b,0.25
A,4,b,0.25
C,5,-,0.25
G,5,-,0.25
F,5,-,0.25
A,4,b,0.25
E,5,b,0.25
A,4,b,0.25
D,5,-,0.25
A,4,b,0.25
C,5,-,0.25
A,4,b,0.25

#29
D,5,-,0.5
G,4,-,0.5
E,5,b,0.5
D,5,-,0.5
C,5,-,0.5
G,5,-,0.5
C,6,-,1

#30
G,5,-,0.25
C,5,-,0.25
E,5,b,0.25
F,5,-,0.25
G,5,-,0.25
C,5,-,0.25
E,5,b,0.25
B,5,b,0.25
A,5,b,0.25
C,5,-,0.25
G,5,-,0.25
C,5,-,0.25
A,5,b,0.25
C,5,-,0.25
C,6,-,0.25
C,5,-,0.25

#31
B,5,b,0.25
D,5,-,0.25
F,5,-,0.25
C,6,-,0.25
B,5,b,0.25
D,5,-,0.25
A,5,b,0.25
D,5,-,0.25
G,5,-,0.25
G,4,-,0.25
F,5,-,0.25
G,4,-,0.25
E,5,b,0.25
G,4,-,0.25
D,5,-,0.25
G,4,-,0.25

#32
E,5,b,0.25
A,4,b,0.25
C,5,-,0.25
D,5,-,0.25
E,5,b,0.25
A,4,b,0.25
C,5,-,0.25
G,5,-,0.25
F,5,-,0.25
A,4,b,0.25
E,5,b,0.25
A,4,b,0.25
D,5,-,0.25
A,4,b,0.25
C,5,-,0.25
A,4,b,0.25

#33
D,5,-,0.25
G,4,-,0.25
B,4,-,0.25
D,5,-,0.25
F,5,-,0.25
B,4,-,0.25
D,5,-,0.25
F,5,-,0.25
G,5,-,0.25
D,5,-,0.25
F,5,-,0.25
G,5,-,0.25
B,5,-,0.25
F,5,-,0.25
G,5,-,0.25
B,5,-,0.25

#34
D,6,-,0.25
G,5,-,0.25
B,5,-,0.25
D,6,-,0.25
F,6,-,0.25
B,5,-,0.25
D,6,-,0.25
F,6,-,0.25
G,6,-,0.25
D,6,-,0.25
F,6,-,0.25
G,6,-,0.25
B,6,-,0.25
F,6,-,0.25
G,6,-,0.25
B,6,-,0.25

#35
C,7,-,2
0,7,-,2
