equal,pyth,pure,length
622.2539674441618,626.484375,618.75,1.25
415.3046975799451,417.65625000000006,412.5,0.25
493.8833012561241,495.00000000000006,495.0,0.25
622.2539674441618,626.484375,618.75,0.25
554.3652619537442,556.875,550.0,1.0
739.9888454232688,742.5000000000001,742.5,1.0
554.3652619537442,556.875,550.0,0.75
932.3275230361799,939.7265625000001,928.125,0.25
830.6093951598903,835.3125000000001,825.0,0.75
783.9908719634985,782.2222222222223,792.0,0.25
830.6093951598903,835.3125000000001,825.0,1.0
1244.5079348883237,1252.96875,1237.5,1.0
830.6093951598903,835.3125000000001,825.0,1.0
1244.5079348883237,1252.96875,1237.5,1.0
1108.7305239074883,1113.75,1100.0,0.5
1108.7305239074883,1113.75,1100.0,0.16666666666666666
1244.5079348883237,1252.96875,1237.5,0.16666666666666666
1108.7305239074883,1113.75,1100.0,0.16666666666666666
932.3275230361799,939.7265625000001,928.125,0.5
739.9888454232688,742.5000000000001,742.5,0.5
830.6093951598903,835.3125000000001,825.0,3.0
0,0,0,0.5
622.2539674441618,626.484375,618.75,0.5
622.2539674441618,626.484375,618.75,1.25
415.3046975799451,417.65625000000006,412.5,0.25
493.8833012561241,495.00000000000006,495.0,0.25
622.2539674441618,626.484375,618.75,0.25
554.3652619537442,556.875,550.0,1.0
739.9888454232688,742.5000000000001,742.5,1.0
554.3652619537442,556.875,550.0,0.5
783.9908719634985,782.2222222222223,792.0,0.5
830.6093951598903,835.3125000000001,825.0,0.5
932.3275230361799,939.7265625000001,928.125,0.5
622.2539674441618,626.484375,618.75,0.25
987.7666025122483,990.0000000000001,990.0,0.25
554.3652619537442,556.875,550.0,0.25
932.3275230361799,939.7265625000001,928.125,0.25
493.8833012561241,495.00000000000006,495.0,0.25
830.6093951598903,835.3125000000001,825.0,0.25
466.1637615180899,469.86328125000006,464.0625,0.25
739.9888454232688,742.5000000000001,742.5,0.25
830.6093951598903,835.3125000000001,825.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
1108.7305239074883,1113.75,1100.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
830.6093951598903,835.3125000000001,825.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
1108.7305239074883,1113.75,1100.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
830.6093951598903,835.3125000000001,825.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
1108.7305239074883,1113.75,1100.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
830.6093951598903,835.3125000000001,825.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
1108.7305239074883,1113.75,1100.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
830.6093951598903,835.3125000000001,825.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
830.6093951598903,835.3125000000001,825.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
830.6093951598903,835.3125000000001,825.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1244.5079348883237,1252.96875,1237.5,0.25
830.6093951598903,835.3125000000001,825.0,0.5
622.2539674441618,626.484375,618.75,0.5
987.7666025122483,990.0000000000001,990.0,0.5
932.3275230361799,939.7265625000001,928.125,0.5
987.7666025122483,990.0000000000001,990.0,0.5
1108.7305239074883,1113.75,1100.0,0.5
932.3275230361799,939.7265625000001,928.125,0.5
830.6093951598903,835.3125000000001,825.0,0.5
739.9888454232688,742.5000000000001,742.5,0.5
622.2539674441618,626.484375,618.75,0.25
739.9888454232688,742.5000000000001,742.5,0.25
830.6093951598903,835.3125000000001,825.0,0.5
739.9888454232688,742.5000000000001,742.5,0.5
830.6093951598903,835.3125000000001,825.0,0.5
987.7666025122483,990.0000000000001,990.0,0.5
739.9888454232688,742.5000000000001,742.5,0.5
659.2551138257398,660.0,660.0,0.5
622.2539674441618,626.484375,618.75,0.5
622.2539674441618,626.484375,618.75,0.25
739.9888454232688,742.5000000000001,742.5,0.25
659.2551138257398,660.0,660.0,0.5
622.2539674441618,626.484375,618.75,0.5
554.3652619537442,556.875,550.0,0.5
659.2551138257398,660.0,660.0,0.5
622.2539674441618,626.484375,618.75,0.5
554.3652619537442,556.875,550.0,0.5
493.8833012561241,495.00000000000006,495.0,0.5
622.2539674441618,626.484375,618.75,0.5
554.3652619537442,556.875,550.0,0.5
493.8833012561241,495.00000000000006,495.0,0.5
466.1637615180899,469.86328125000006,464.0625,0.5
415.3046975799451,417.65625000000006,412.5,0.5
391.99543598174927,391.11111111111114,396.0,0.5
415.3046975799451,417.65625000000006,412.5,0.5
466.1637615180899,469.86328125000006,464.0625,1.0
493.8833012561241,495.00000000000006,495.0,0.5
466.1637615180899,469.86328125000006,464.0625,0.5
493.8833012561241,495.00000000000006,495.0,0.5
554.3652619537442,556.875,550.0,0.5
466.1637615180899,469.86328125000006,464.0625,0.5
415.3046975799451,417.65625000000006,412.5,0.5
369.9944227116344,371.25000000000006,371.25,0.5
311.1269837220809,313.2421875,309.375,0.25
369.9944227116344,371.25000000000006,371.25,0.25
415.3046975799451,417.65625000000006,412.5,0.5
369.9944227116344,371.25000000000006,371.25,0.5
415.3046975799451,417.65625000000006,412.5,0.5
493.8833012561241,495.00000000000006,495.0,0.5
369.9944227116344,371.25000000000006,371.25,0.5
329.6275569128699,330.0,330.0,0.5
311.1269837220809,313.2421875,309.375,0.5
311.1269837220809,313.2421875,309.375,0.25
369.9944227116344,371.25000000000006,371.25,0.25
329.6275569128699,330.0,330.0,0.5
311.1269837220809,313.2421875,309.375,0.5
277.1826309768721,278.4375,275.0,0.5
329.6275569128699,330.0,330.0,0.5
311.1269837220809,313.2421875,309.375,0.5
277.1826309768721,278.4375,275.0,0.5
246.94165062806206,247.50000000000003,247.5,0.5
311.1269837220809,313.2421875,309.375,0.5
277.1826309768721,278.4375,275.0,0.5
246.94165062806206,247.50000000000003,247.5,0.5
233.08188075904496,234.93164062500003,232.03125,0.5
